state_code,constituency_name,mla_name,party,term_start,term_end,constituency_number,gender,seat_type,remarks,contact_details,is_vacant
AP,ACHANTA,"Cherukuvada Sriranganadha Raju",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,ADDANKI,"Gottipati Ravi Kumar",TDP,2019-01-01,2024-12-31,,,,,,No
AP,ADONI,"Y. Sai Prasad Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,ALLAGADDA,"Brijendra Reddy Gangula",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,ALUR,"P Jayaram",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,AMADALAVALASA,"Thammineni Seetharam",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,AMALAPURAM,"Viswarupu Pinipe",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,ANAKAPALLI,"Amarnath Gudivada",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,"ANANTAPUR URBAN","Anantha Venkatarami Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,ANAPARTHY,"Sathi Suryanarayana Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,"ARAKU VALLEY","Chetti Palguna",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,ATMAKUR,"Mekapati Goutham Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,AVANIGADDA,"Simhadri Ramesh Babu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,BADVEL,"Gunthoti Venkata Subbaiah",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,BANAGANAPALLE,"Katasani Rami Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,BAPATLA,"Kona Raghupathi",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,BHIMAVARAM,"Srinivas Grandhi",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,BHIMLI,"Muttamsetti Srinivasa Rao",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,BOBBILI,"Sambangi Venkata China Appala Naidu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,CHANDRAGIRI,"Dr.Chevireddy Bhaskar Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,CHEEPURUPALLE,"Botcha Satyanarayana",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,CHILAKALURIPET,"Rajini Vidadala",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,CHINTALAPUDI,"Vunnamatla Rakada Eliza",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,CHIRALA,"Balarama Krishna Murthy Karanam",TDP,2019-01-01,2024-12-31,,,,,,No
AP,CHITTOOR,"Aranii Srenevasulu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,CHODAVARAM,"Karanam Dharmasri",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,DARSI,"Venugopal Rao Maddisetty",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,DENDULURU,"Abbaya Chowdary Kothari",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,DHARMAVARAM,"Kethireddy Venkatarami Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,DHONE,"Buggana Rajendranath",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,ELURU,"Alla Kali Krishna Srinivas",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,ETCHERLA,"Kiran Kumar Gorle",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,GAJAPATHINAGARAM,"Botcha Appalanarasayya",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,GAJUWAKA,"Nagi Reddy Tippala",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,"GANGADHARA NELLORE","Kalattur Narayana Swamy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,GANNAVARAM,"Kondeti Chitti Babu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,"GANNAVARAM 2","Vallabhaneni Vamsi Mohan",TDP,2019-01-01,2024-12-31,,,,,,No
AP,GIDDALUR,"Anna Rambabu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,GOPALAPURAM,"Talari Venkatrao",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,GUDIVADA,"Kodali Sri Venkateswara Rao",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,GUDUR,"Varaprasad Rao Velagapalli",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,GUNTAKAL,"Yallareddy Gari Venkatarama Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,"GUNTUR EAST","Mohammad Musthafa Shaik",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,"GUNTUR WEST","Maddali Giridhara Rao",TDP,2019-01-01,2024-12-31,,,,,,No
AP,GURAZALA,"Mahesh Reddy Kasu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,HINDUPUR,"Nandamuri Balakrishna",TDP,2019-01-01,2024-12-31,,,,,,No
AP,ICHCHAPURAM,"Ashok Bendalam",TDP,2019-01-01,2024-12-31,,,,,,No
AP,JAGGAMPETA,"Jyothula Naga Veera Venkata Vishnu Satya Marthanda Rao",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,JAGGAYYAPETA,"Udayabhanu Samineni",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,JAMMALAMADUGU,"Mule Sudheer Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,KADAPA,"Amzath Basha Shaik Bepari",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,KADIRI,"Pedaballi Venkata Sidda Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,KAIKALUR,"Dulam Nageswara Rao",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,"KAKINADA CITY","Chandra Sekhara Reddy Dwarampudi",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,"KAKINADA RURAL","Kurasala Kannababu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,KALYANDURG,K.V.Usha,YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,KAMALAPURAM,"Pochimareddy Ravindranath Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,KANDUKUR,"Maheedhar Reddy Manugunta",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,KANIGIRI,"Burra Madhu Sudhana Rao",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,KAVALI,"Ramireddy Pratap Kumar Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,KODUMUR,"Jaradoddi Sudhakar",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,KODUR,"Koramutla Sreenivasulu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,KONDAPI,"Doctor Dola Sree Bala Veeranjaneya Swamy",TDP,2019-01-01,2024-12-31,,,,,,No
AP,KOTHAPETA,"Jaggireddy Chirla",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,KOVUR,"Nallapareddy Prasanna Kumar Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,KOVVUR,"Taneti Vanita",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,KUPPAM,"Nara Chandrababu Naidu",TDP,2019-01-01,2024-12-31,,,,,,No
AP,KURNOOL,"Abdul Hafeez Khan Mohammed",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,KURUPAM,"Pamula Pushpa Sreevani",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,MACHERLA,"Ramakrishna Reddy Pinnelli",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,MACHILIPATNAM,"Perni Venkataramaiah (Nani)",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,MADAKASIRA,"Mopuragundu Thippeswamy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,MADANAPALLE,"Mohammed Nawaz Basha",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,MADUGULA,"Budi Mutyala Naidu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,MANDAPETA,"Vegulla Jogeswara Rao",TDP,2019-01-01,2024-12-31,,,,,,No
AP,MANGALAGIRI,"Rama Krishna Reddy Alla",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,MANTRALAYAM,"Yallareddy Gari Balanagi Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,MARKAPURAM,"Kunduru Nagarjuna Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,MUMMIDIVARAM,"Ponnada Venkata Satish Kumar",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,MYDUKUR,"Raghurami Reddy Settipally",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,MYLAVARAM,"Vasantha Venkata Krishna Prasad",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,NAGARI,"R.K. Roja",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,NANDIGAMA,"Monditoka . Jagan Mohana Rao",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,NANDIKOTKUR,"Thoguru Arthur",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,NANDYAL,"Singareddy Ravi Chandra Kishore Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,NARASANNAPETA,"Dharmana Krishna Das",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,NARASAPURAM,"Mudunuri Naga Raja Vara Prasada Raju",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,NARASARAOPET,"Srinivasa Reddy Gopireddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,NARSIPATNAM,"Uma Sankara Ganesh Petla",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,NELLIMARLA,"Appala Naidu Baddukonda",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,"NELLORE CITY","Poluboina Anil Kumar",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,"NELLORE RURAL","Kotamreddy Sridhar Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,NIDADAVOLE,"Geddam Srinivas Naidu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,NUZVID,"Venkata Pratap Apparao Meka",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,ONGOLE,"Balineni Srinivasa Reddy (Vasu)",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PADERU,"Kottagulli Bhagya Lakshmi",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PALACOLE,"Dr. Nimmala Ramanaidu",TDP,2019-01-01,2024-12-31,,,,,,No
AP,PALAKONDA,"Viswasarayi Kalavathi",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PALAMANER,"N Venkate Gowda",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PALASA,"Appalaraju Seediri",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PAMARRU,"Anil Kumar Kaile",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PANYAM,"Katasani Rambhupal Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PARCHUR,"Yeluri Samba Siva Rao",TDP,2019-01-01,2024-12-31,,,,,,No
AP,PARVATHIPURAM,"Alajangi Jogarao",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PATHAPATNAM,"Shanthi Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PATTIKONDA,"K Sreedevi",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PAYAKARAOPETA,"Baburao Golla",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PEDAKURAPADU,"Sankara Rao Namburu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PEDANA,"Jogi Ramesh",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PEDDAPURAM,"Nimmakayala China Rajappa",TDP,2019-01-01,2024-12-31,,,,,,No
AP,PENAMALURU,"Kolusu Partha Sarathy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PENDURTHI,"Annamreddy Adeep Raj",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PENUKONDA,"Sankar Narayana Malagundla",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PILERU,"Chinthala Ramaachandra Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PITHAPURAM,"Dorababu Pendem",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,POLAVARAM,"Tellam Balaraju",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PONNUR,"Venkatroshaiah Kilari",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PRATHIPADU,"Sri Purnachandra Prasadu Parvatha",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PRATHIPADU2,"Sucharitha Mekathoti",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PRODDATUR,"Rachamallu Siva Prasad Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PULIVENDLA,"Yeduguri Sandinti Jagan Mohan Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PUNGANUR,"Peddi Reddy Ramachandra Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PUTHALAPATTU,"M Babu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,PUTTAPARTHI,"Duddukunta Sreedhar Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,"RAJAHMUNDRY CITY","Adireddy Bhavani",TDP,2019-01-01,2024-12-31,,,,,,No
AP,RAJAM,"Kambala Jogulu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,RAJAMPET,"Meda Venkata Mallikarjuna Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,"RAJAMUNDRY RURAL","Buchayya Chowdary Gorantla",TDP,2019-01-01,2024-12-31,,,,,,No
AP,RAJANAGARAM,"Jakkampudi Raja",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,RAMACHANDRAPURAM,"Srinivasa Venu Gopala Krishna Chelluboyina",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,RAMPACHODAVARAM,"Nagulapalli Dhanalakshmi",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,RAPTADU,"Thopudurthy Prakash Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,RAYACHOTI,"Gadikokta. Srikanth Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,RAYADURG,"Kapu Ramachandra Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,RAZOLE,"Rapaka Vara Prasada Rao","Janasena Party",2019-01-01,2024-12-31,,,,,,No
AP,REPALLE,"Anagani Satyaprasad",TDP,2019-01-01,2024-12-31,,,,,,No
AP,SALUR,"Peedika Rajanna Dora",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,SANTHANUTHALAPADU,"Thalathoti Jaya Ratna Sudhakar Babu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,SARVEPALLI,"Kakani Govardhan Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,SATTENAPALLI,"Rambabu Ambati",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,SATYAVEDU,"K Adimulam",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,SINGANAMALA,"Jonnalagadda Padmavathy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,SRIKAKULAM,"Dharmana Prasada Rao",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,SRIKALAHASTI,"Madhusudhan Reddy Biyyapu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,SRISAILAM,"S Chakrapani Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,SRUNGAVARAPUKOTA,"Kadubandi Srinivasa Rao",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,SULLURPETA,"Kiliveti Sanjeevaiah",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,TADEPALLIGUDEM,"Kottu Satyanarayana",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,TADIKONDA,"Vundavall Sridevi",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,TADIPATRI,"Kethireddy Pedda Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,TANUKU,"Karumuri Venkata Nageswara Rao",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,TEKKALI,"Atchannaidu Kinjarapu",TDP,2019-01-01,2024-12-31,,,,,,No
AP,TENALI,"Annabathuni Siva Kumar",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,THAMBALLAPALLE,"Peddireddy Dwarakanatha Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,TIRUPATI,"Bhumana Karunakar Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,TIRUVURU,"Kokkiligadda Rakshana Nidhi",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,TUNI,"Dadisetti Raja",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,UDAYAGIRI,"Mekapati Chandra Sekhar Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,UNDI,"Ramaraju Mantena",TDP,2019-01-01,2024-12-31,,,,,,No
AP,UNGUTURU,"Puppala Srinivasarao",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,URAVAKONDA,"Payyavula Keshav",TDP,2019-01-01,2024-12-31,,,,,,No
AP,VEMURU,"Merugu Nagarjuna",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,VENKATAGIRI,"Anam Ramanarayana Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,"VIJAYAWADA CENTRAL","Vishnu Vardhan Malladi",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,"VIJAYAWADA EAST","Gadde Rama Mohan",TDP,2019-01-01,2024-12-31,,,,,,No
AP,"VIJAYWADA WEST","Velam Palli Srinivasa Rao",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,VINUKONDA,"Bolla Brahma Naidu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,"VISAKHAPATNAM EAST","Ramakrishna Babu Velagapudi",TDP,2019-01-01,2024-12-31,,,,,,No
AP,"VISAKHAPATNAM NORTH","Ganta Srinivasa Rao",TDP,2019-01-01,2024-12-31,,,,,,No
AP,"VISAKHAPATNAM SOUTH","Ganesh Kumar Vasupalli",TDP,2019-01-01,2024-12-31,,,,,,No
AP,"VISAKHAPATNAM WEST","Gana Venkata Reddy Naidu Pethakamsetti (Gana Babu)",TDP,2019-01-01,2024-12-31,,,,,,No
AP,VIZIANAGARAM,"Kolagatla Veerabhadra Swamy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,YELAMANCHILI,"Uppalapati Venkata Ramanamurthy Raju",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,YEMMIGANUR,"K Chennakesava Reddy",YSRCP,2019-01-01,2024-12-31,,,,,,No
AP,YERRAGONDAPALEM,"Dr. Suresh Audimulapu",YSRCP,2019-01-01,2024-12-31,,,,,,No
AR,"ALONG EAST","Kento Jini",BJP,2019-01-01,2024-12-31,,,,,,No
AR,"ALONG WEST","Tumke Bagra",BJP,2019-01-01,2024-12-31,,,,,,No
AR,ANINI,"Mopi Mihu",BJP,2019-01-01,2024-12-31,,,,,,No
AR,BAMENG,"Goruk Pordung",BJP,2019-01-01,2024-12-31,,,,,,No
AR,BASAR,"Gokar Basar",NPP,2019-01-01,2024-12-31,,,,,,No
AR,BOMDILA,"Dongru Siongju",JD(U),2019-01-01,2024-12-31,,,,,,No
AR,"BORDUMSA - DIYUM","Somlung Mossang",IND,2019-01-01,2024-12-31,,,,,,No
AR,"BORDURIA BOGAPANI","Wanglin Lowangdong",INC,2019-01-01,2024-12-31,,,,,,No
AR,"CHANGLANG NORTH","Tesam Pongte",BJP,2019-01-01,2024-12-31,,,,,,No
AR,"CHANGLANG SOUTH","Phosum Khimhun",BJP,2019-01-01,2024-12-31,,,,,,No
AR,"CHAYANG TAJO","Hayeng Mangfi",JD(U),2019-01-01,2024-12-31,,,,,,No
AR,CHOWKHAM,"Chowna Mein",BJP,2019-01-01,2024-12-31,,,,,,No
AR,DAMBUK,"Gum Tayeng",BJP,2019-01-01,2024-12-31,,,,,,No
AR,DAPORIJO,"Tanya Soki",BJP,2019-01-01,2024-12-31,,,,,,No
AR,DIRANG,"Phurpa Tsering",BJP,2019-01-01,2024-12-31,,,,,,No
AR,DOIMUKH,"Tana Hali Tara",BJP,2019-01-01,2024-12-31,,,,,,No
AR,DUMPORIJO,"Rode Bui",BJP,2019-01-01,2024-12-31,,,,,,No
AR,HAYULIANG,"Dasanglu Pul",BJP,2019-01-01,2024-12-31,,,,,,No
AR,ITANAGAR,"Techi Kaso",JD(U),2019-01-01,2024-12-31,,,,,,No
AR,KALAKTANG,"Dorjee Wangdi Kharma",JD(U),2019-01-01,2024-12-31,,,,,,No
AR,KANUBARI,"Gabriel Denwang Wangsu",BJP,2019-01-01,2024-12-31,,,,,,No
AR,"KHONSA EAST","Wanglam Sawin",BJP,2019-01-01,2024-12-31,,,,,,No
AR,"KHONSA WEST","Tirong Aboh",NPP,2019-01-01,2024-12-31,,,,,,No
AR,KOLORIANG,"Lokam Tassar",BJP,2019-01-01,2024-12-31,,,,,,No
AR,LEKANG,"Jummum Ete Deori",BJP,2019-01-01,2024-12-31,,,,,,No
AR,LIKABALI,"Kardo Nyigyor","Peoples Party of Arunachal",2019-01-01,2024-12-31,,,,,,No
AR,LIROMOBA,"Nyamar Karbak",BJP,2019-01-01,2024-12-31,,,,,,No
AR,"LONGDING PUMAO","Tanpho Wangnaw",BJP,2019-01-01,2024-12-31,,,,,,No
AR,LUMLA,"Jambey Tashi",BJP,2019-01-01,2024-12-31,,,,,,No
AR,MARIYANG-GEKU,"Kanggong Taku",JD(U),2019-01-01,2024-12-31,,,,,,No
AR,MEBO,"Lombo Tayeng",INC,2019-01-01,2024-12-31,,,,,,No
AR,MECHUKHA,"Pasang Dorjee Sona",BJP,2019-01-01,2024-12-31,,,,,,No
AR,MIAO,"Kamlung Mosang",BJP,2019-01-01,2024-12-31,,,,,,No
AR,MUKTO,"Pema Khandu",BJP,2019-01-01,2024-12-31,,,,,,No
AR,NACHO,"Nakap Nalo",BJP,2019-01-01,2024-12-31,,,,,,No
AR,NAMPONG,"Laisam Simai",BJP,2019-01-01,2024-12-31,,,,,,No
AR,NAMSAI,"Chau Zingnu Namchoom",BJP,2019-01-01,2024-12-31,,,,,,No
AR,NAMSANG,"Wangki Lowang",BJP,2019-01-01,2024-12-31,,,,,,No
AR,NARI-KOYU,"Kento Rina",BJP,2019-01-01,2024-12-31,,,,,,No
AR,NYAPIN,"Bamang Felix",BJP,2019-01-01,2024-12-31,,,,,,No
AR,"PAKKE KESSANG","Biyuram Wahge",BJP,2019-01-01,2024-12-31,,,,,,No
AR,PALIN,"Balo Raja",BJP,2019-01-01,2024-12-31,,,,,,No
AR,PANGIN,"Ojing Tasing",BJP,2019-01-01,2024-12-31,,,,,,No
AR,"PASIGHAT EAST","Kaling Moyong",BJP,2019-01-01,2024-12-31,,,,,,No
AR,"PASIGHAT WEST","Ninong Ering",INC,2019-01-01,2024-12-31,,,,,,No
AR,"PONGCHAO WAKKA","Honchun Ngandam",BJP,2019-01-01,2024-12-31,,,,,,No
AR,RAGA,"Tarin Dakpe",NPP,2019-01-01,2024-12-31,,,,,,No
AR,ROING,"Mutchu Mithi",NPP,2019-01-01,2024-12-31,,,,,,No
AR,RUMGONG,"Talem Taboh",JD(U),2019-01-01,2024-12-31,,,,,,No
AR,SAGALEE,"Nabam Tuki",INC,2019-01-01,2024-12-31,,,,,,No
AR,"SEPPA EAST","Tapuk Taku",NPP,2019-01-01,2024-12-31,,,,,,No
AR,"SEPPA WEST","Mama Natung",BJP,2019-01-01,2024-12-31,,,,,,No
AR,TALI,"Jikke Tako",JD(U),2019-01-01,2024-12-31,,,,,,No
AR,TALIHA,"Nyato Rigia",BJP,2019-01-01,2024-12-31,,,,,,No
AR,TAWANG,"Tsering Tashi",BJP,2019-01-01,2024-12-31,,,,,,No
AR,TEZU,"Karikho Kri",IND,2019-01-01,2024-12-31,,,,,,No
AR,THRIZINO-BURAGAON,"Kumsi Sidisow",BJP,2019-01-01,2024-12-31,,,,,,No
AR,"TUTING YINGKIONG","Sri Alo Libang",BJP,2019-01-01,2024-12-31,,,,,,No
AR,YACHULI,"Taba Tedir",BJP,2019-01-01,2024-12-31,,,,,,No
AR,"ZIRO HAPOLI","Tage Taki",BJP,2019-01-01,2024-12-31,,,,,,No
AS,"ABHAYAPURI NORTH","Abdul Batin Khandakar",INC,2021-01-01,2026-12-31,,,,,,No
AS,"ABHAYAPURI SOUTH","Pradip Sarkar",INC,2021-01-01,2026-12-31,,,,,,No
AS,ALGAPUR,"Nijam Uddin Choudhury",AIUDF,2021-01-01,2026-12-31,,,,,,No
AS,AMGURI,"Prodip Hazarika",AGP,2021-01-01,2026-12-31,,,,,,No
AS,BADARPUR,"Abdul Aziz",AIUDF,2021-01-01,2026-12-31,,,,,,No
AS,BAGHBAR,"Sherman Ali Ahmed",INC,2021-01-01,2026-12-31,,,,,,No
AS,BAITHALANGSO,"Rupsing Teron",BJP,2021-01-01,2026-12-31,,,,,,No
AS,BARAMA,"Bhupen Baro","United Peoples Party, Liberal",2021-01-01,2026-12-31,,,,,,No
AS,BARCHALLA,"Ganesh Kumar Limbu",BJP,2021-01-01,2026-12-31,,,,,,No
AS,BARHAMPUR,"Jitu Goswami",BJP,2021-01-01,2026-12-31,,,,,,No
AS,BARKHETRY,"Diganta Barman",INC,2021-01-01,2026-12-31,,,,,,No
AS,BARKHOLA,"Misbahul Islam Laskar",INC,2021-01-01,2026-12-31,,,,,,No
AS,BARPETA,"Abdur Rahim Ahmed",INC,2021-01-01,2026-12-31,,,,,,No
AS,BATADROBA,"Sibamoni Bora",INC,2021-01-01,2026-12-31,,,,,,No
AS,BEHALI,"Ranjit Dutta",BJP,2021-01-01,2026-12-31,,,,,,No
AS,BHABANIPUR,"Phanidhar Talukdar",AIUDF,2021-01-01,2026-12-31,,,,,,No
AS,BIHPURIA,"Dr. Amiya Kumar Bhuyan",BJP,2021-01-01,2026-12-31,,,,,,No
AS,BIJNI,"Ajoy Kumar Ray",BJP,2021-01-01,2026-12-31,,,,,,No
AS,"BILASIPARA EAST","Samsul Huda",AIUDF,2021-01-01,2026-12-31,,,,,,No
AS,"BILASIPARA WEST","Hafiz Bashir Ahmed",AIUDF,2021-01-01,2026-12-31,,,,,,No
AS,BISWANATH,"Promod Borthakur",BJP,2021-01-01,2026-12-31,,,,,,No
AS,BOKAJAN,"Numal Momin",BJP,2021-01-01,2026-12-31,,,,,,No
AS,BOKAKHAT,"Atul Bora",AGP,2021-01-01,2026-12-31,,,,,,No
AS,BOKO,"Nandita Das",INC,2021-01-01,2026-12-31,,,,,,No
AS,BONGAIGAON,"Phani Bhusan Choudhury",AGP,2021-01-01,2026-12-31,,,,,,No
AS,CHABUA,"Ponakan Baruah",AGP,2021-01-01,2026-12-31,,,,,,No
AS,CHAPAGURI,"Urkhao Gwra Brahma","United Peoples Party, Liberal",2021-01-01,2026-12-31,,,,,,No
AS,CHAYGAON,"Rekibuddin Ahmed",INC,2021-01-01,2026-12-31,,,,,,No
AS,CHENGA,"Ashraful Hussain",AIUDF,2021-01-01,2026-12-31,,,,,,No
AS,DALGAON,"Mazibur Rahman",AIUDF,2021-01-01,2026-12-31,,,,,,No
AS,DERGAON,"Bhabendra Nath Bharali",AGP,2021-01-01,2026-12-31,,,,,,No
AS,DHAKUAKHANA,"Naba Kumar Doley",BJP,2021-01-01,2026-12-31,,,,,,No
